المخالفة,الغرامة
عدم إعطاء الأفضلية للمركبة القادمة من اليمين عند الوصول إلى تقاطع متساوي الأفضلية في آن واحد وعندما لا يكون هناك إشارات أولوية.,الغرامة المالية 500 - 900 ريال
عدم إعطاء الأفضلية للمركبات التي على الطريق الرئيسي في حالة عدم وجود إشارة أفضلية.,الغرامة المالية 500 - 900 ريال
عدم التقيد بإشارات رجل الأمن اليدوية عند تنظيمه للحركة وعدم إعطاء إشارته الأولوية على الإشارات الضوئية.,الغرامة المالية 500 - 900 ريال
عدم إعطاء الأفضلية للمركبات التي بداخل الدوار من قبل المركبات التي خارجه في حالة عدم وجود إشارات ضوئية أو رجل أمن يوجه السير.,الغرامة المالية 500 - 900 ريال
قيادة المركبة داخل الأنفاق من غير إضاءة أنوارها.,الغرامة المالية 500 - 900 ريال
زيادة أبعاد الحمولة المنقولة لمركبات النقل الخفيف على الحد المسموح به.,الغرامة المالية 500 - 900 ريال
قيام سائق مركبة الطوارئ باستعمال المنبهات الخاصة بها من غير ضرورة.,الغرامة المالية 500 - 900 ريال
عدم إعطاء أفضلية المرور في ملتقيات الطرق أو تقاطعاتها لسائق المركبة المتقدم على غيره في حال عدم وجود لوحات تنظم ذلك.,الغرامة المالية 500 - 900 ريال
عدم قيام السائق في حال تغيير اتجاهه بالدوران للخلف بإعطاء أفضلية المرور للمركبات القادمة من الاتجاهات الأخرى.,الغرامة المالية 500 - 900 ريال
عدم قيام السائق في حال إغلاق جزء من الطريق بإعطاء الأفضلية لمن كان طريقه مفتوحاً.,الغرامة المالية 500 - 900 ريال
عدم قيام السائق الذي يرغب في تغيير مساره بإعطاء الأفضلية لسائق المركبة التي تسير في اتجاه مستقيم في حال سير المركبتين متحاذيتين بشكل متواز.,الغرامة المالية 500 - 900 ريال
عدم إعطاء أفضلية المرور للمركبات القادمة من طريق رئيسي في حالة تقاطعها مع طريق فرعي أو طريق ترابي.,الغرامة المالية 500 - 900 ريال
عدم إعطاء أفضلية المرور لوسائل النقل العام كالقطارات أو الحافلات وما في حكمها في حال سيرها على المسارات المخصصة لها.,الغرامة المالية 500 - 900 ريال
نقل الركاب في الأماكن غير المخصصة لهم في المركبة.,الغرامة المالية 500 - 900 ريال
استخدام السائق بيده أي جهاز محمول أثناء سير المركبة.,الغرامة المالية 500 - 900 ريال
الوقوف في أماكن وقوف ذوي الاحتياجات الخاصة من غير هذه الفئة المسموح لها.,الغرامة المالية 500 - 900 ريال
وضع كتابة أو رسم أو ملصق أو أي بيان آخر على جسم المركبة دون موافقة الجهات المختصة.,الغرامة المالية 500 - 900 ريال
تسيير مركبة تحدث تلويثاً للبيئة على الطرق العامة.,الغرامة المالية 500 - 900 ريال
تظليل زجاج المركبة دون التقيد بالضوابط التي تضعها الإدارة المختصة.,الغرامة المالية 500 - 900 ريال
استعمال المركبة لغير الغرض الذي رخصت من أجله.,الغرامة المالية 500 - 900 ريال
عدم تغطية الحمولة المنقولة وتثبيتها.,الغرامة المالية 500 - 900 ريال
دخول الشاحنات والمعدات الثقيلة وما في حكمهما إلى المدن أو الخروج منها في الأوقات غير المسموح بها.,الغرامة المالية 1000 - 2000 ريال
قيادة المركبة برخصة قيادة لا تتناسب مع حجم المركبة ونوع استخدامها.,الغرامة المالية 1000 - 2000 ريال
الوقوف على خطوط السكة الحديدية.,الغرامة المالية 1000 - 2000 ريال
نقل عدد من الركاب يزيد على العدد المحدد في رخصة السير.,الغرامة المالية 1000 - 2000 ريال
رفض إبراز الوثائق الخاصة بالسائق أو المركبة للمصرح لهم الاطلاع عليها.,الغرامة المالية 1000 - 2000 ريال
قيادة المركبة بلوحات غير واضحة أو بها تلف.,الغرامة المالية 1000 - 2000 ريال
سير المركبة بلا لوحة أمامية.,الغرامة المالية 1000 - 2000 ريال
عدم إنهاء إجراءات تعديل مجال استعمال المركبة.,الغرامة المالية 1000 - 2000 ريال
عدم إخراج المركبة المعدة للتصدير خلال المدة المحددة.,الغرامة المالية 1000 - 2000 ريال
عدم ارتداء الخوذة أثناء قيادة الدراجة الآلية.,الغرامة المالية 1000 - 2000 ريال
قيادة المركبة قبل الحصول على رخصة قيادة أو في حال سحب الرخصة.,الغرامة المالية 1000 - 2000 ريال
ترك أجسام على الطرق العامة تعرض السلامة العامة للخطر.,الغرامة المالية 1000 - 2000 ريال
عدم إعطاء أفضلية المرور لمركبات المواكب الرسمية أو الطوارئ.,الغرامة المالية 1000 - 2000 ريال
القيادة على أكتاف الطريق وعلى الأرصفة أو المسارات التي يمنع القيادة فيها.,الغرامة المالية 1000 - 2000 ريال
النزول أو الركوب أثناء سير المركبات.,الغرامة المالية 1000 - 2000 ريال
عبور المشاة للطرق السريعة.,الغرامة المالية 1000 - 2000 ريال
"التجاوز في المناطق التي يمنع فيها التجاوز، مثل المنعطفات والمرتفعات.",الغرامة المالية 1000 - 2000 ريال
عدم وجود إنارة جانبية أو عواكس أو سواتر للشاحنات والمقطورات.,الغرامة المالية 1000 - 2000 ريال
عدم استخدام الأنوار اللازمة عند السير ليلاً أو في الأحوال الجوية التي تكون فيها الرؤية غير واضحة.,الغرامة المالية 1000 - 2000 ريال
عدم تثبيت اللوحة في مكانها المخصص.,الغرامة المالية 1000 - 2000 ريال
التجمهر في مواقع التفحيط.,الغرامة المالية 1000 - 2000 ريال
زيادة أبعاد الحمولة المنقولة لمركبات النقل الثقيل على الحد المسموح به.,الغرامة المالية 1000 - 2000 ريال
"إجراء أي تعديل أو إضافة على جسم المركبة أو هيكلها، يغير معالمها أو تجهيزاتها الأساسية دون اتخاذ الإجراءات النظامية.",الغرامة المالية 1000 - 2000 ريال
"قيادة مركبة دون توافر التجهيزات اللازمة، مثل المكابح والأنوار وما في حكمهما.",الغرامة المالية 1000 - 2000 ريال
استخدام لوحات غير صادرة من الإدارة المختصة.,الغرامة المالية 1000 - 2000 ريال
تجاوز إشارة المرور الضوئية أثناء الضوء الأحمر.,الغرامة المالية 3000 - 6000 ريال
تجاوز حافلات النقل المدرسي عند توقفها للتحميل أو التنزيل.,الغرامة المالية 3000 - 6000 ريال
العبث بعلامات الطريق أو العاكسات أو الشاحنات المنظمة لحركة السير.,الغرامة المالية 3000 - 6000 ريال
عدم الوقوف عند مراكز الضبط الأمني أو نقاط التفتيش أو عدم الوقوف للدورية الأمنية عند وجود توجيه أو علامة توجب الوقوف.,الغرامة المالية 3000 - 6000 ريال
استخدام أجهزة غير مصرح بها في المركبة أو وضع شعارات أو ملصقات تتنافى مع الآداب العامة.,الغرامة المالية 3000 - 6000 ريال
قيادة المركبة بالاتجاه المعاكس لحركة السير.,الغرامة المالية 3000 - 6000 ريال
المراوغة بسرعة بين المركبات على الطرق العامة.,الغرامة المالية 3000 - 6000 ريال
"إجراء سباق للمركبات على الطرق العامة، أو السير في مواكب دون الحصول على تصريح.",الغرامة المالية 3000 - 6000 ريال
عدم التزام الشاحنات والمعدات الثقيلة بالسير في المسار الآمن في الطريق المتعدد المسارات.,الغرامة المالية 3000 - 6000 ريال
عدم قيام أصحاب الحيوانات بإبعادها عن حرم الطريق المعتمد.,الغرامة المالية 3000 - 6000 ريال
تركيب تجهيزات في المركبة كتلك الخاصة بالمركبات الرسمية ومركبات الطوارئ.,الغرامة المالية 3000 - 6000 ريال
"تسيير مركبات الأشغال العامة على الطرق قبل اتخاذ الإجراءات اللازمة لتلافي أضرارها، بما في ذلك عدم وضع الشرائح العاكسة على جانبي مؤخرة المركبة.",الغرامة المالية 3000 - 6000 ريال
"سير المركبة بلا لوحة خلفية، أو بلا لوحات.",الغرامة المالية 3000 - 6000 ريال
طمس لوحات المركبة.,الغرامة المالية 3000 - 6000 ريال
"قيادة المركبة تحت تأثير مسكر أو مخدر، أو عقاقير محذر من القيادة تحت تأثيرها.",الغرامة المالية 5000 - 10000 ريال
القيام بأعمال الطرق قبل التنسيق مع الإدارة المختصة.,الغرامة المالية 5000 - 10000 ريال
"سماح أصحاب الحيوانات بعبور حيواناتهم من غير الأماكن المخصصة لها، أو دون التنسيق مع الجهات المختصة.",الغرامة المالية 5000 - 10000 ريال
استخدام لوحات غير عائدة للمركبة.,الغرامة المالية 5000 - 10000 ريال
طمس رقم هيكل المركبة أو محاولة طمسه.,الغرامة المالية 5000 - 10000 ريال
المجازفة بعبور الأودية والشعاب أثناء جريانها.,الغرامة المالية 5000 - 10000 ريال
